"date","bea_ea_code","bea_ea_name","gdp2018","cases","deaths","pop10"
2020-02-12,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-13,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-13,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-13,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-13,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-13,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-13,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-13,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-13,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-13,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-14,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-14,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-14,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-14,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-14,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-14,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-14,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-14,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-14,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-15,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-15,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-15,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-15,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-15,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-15,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-15,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-15,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-15,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-16,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-16,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-16,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-16,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-16,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-16,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-16,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-16,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-16,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-17,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-17,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-17,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-17,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-17,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,10,0,517110
2020-02-17,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-17,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-17,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-17,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-17,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-18,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-18,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-18,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-18,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-18,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,10,0,517110
2020-02-18,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-18,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-18,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-18,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-18,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-19,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-19,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-19,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-19,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-19,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,10,0,517110
2020-02-19,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-19,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-19,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-19,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-19,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-20,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-20,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-20,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-20,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-20,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,11,0,517110
2020-02-20,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-20,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-20,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-20,146,"San Jose-San Francisco-Oakland, CA",518250259,5,0,2721500
2020-02-20,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-21,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-21,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-21,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-21,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-21,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,11,0,517110
2020-02-21,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-21,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,1,0,1418788
2020-02-21,144,"San Antonio, TX",109073496,4,0,1714773
2020-02-21,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-21,146,"San Jose-San Francisco-Oakland, CA",518250259,5,0,2721500
2020-02-21,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-22,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-22,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-22,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-22,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-22,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,11,0,517110
2020-02-22,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-22,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,1,0,1418788
2020-02-22,144,"San Antonio, TX",109073496,4,0,1714773
2020-02-22,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-22,146,"San Jose-San Francisco-Oakland, CA",518250259,5,0,2721500
2020-02-22,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-23,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-23,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-23,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
